"HB Weapons","Name","Specialisation","Dmg","Range","Mag","Enc","Cost","Avail","Traits","Description","Page"
,"Smoke Grenade","Thrown, Ordnance","--","--","--",0,30,"Common","Blast*, Thrown (Medium), Unstable","Smoke grenades release plumes of thick gas that obscure the vision of most species (especially Humans). They don't block infrared, sound, or other means of detection, and so are easily mitigated by prepared combatants. Smoke grenades make the target Zone Heavily Obscured for three rounds. This duration can be extended or shortened depending on the ventilation, such as enclosed spaces or strong winds.","IM 136"
,"Web Grenade","Thrown","--","--","--",0,150,"Rare","Loud, Blast, Inflict (Restrained)*, Thrown (Medium), Unstable","When a Web Grenade hits a Zone, all creatures in that Zone must make a Hard (−20) Reflexes Test or suffer the Restrained (Minor) Condition. Escaping the webbing requires a Challenging (+0) Extended Athletics (Might) Test requiring a total of 10 SL, with one Test allowed per turn.","IM 136"
,"Breaching Charge","Ordnance",12,"--","--",1,150,"Scarce","Louod, Spread, Unstable","Using a Breaching Charge requires a successful Routine (+20) Tech (Engineering or Security) Test to affix the device correctly. It can be set to detonate on the following round or by Remote Detonator (Imperium Maledictum, page 144) The blast typically destroys any door or Barrier Environmental Trait (Imperium Maledictum, page 204), creating an entry point suitable for any Medium Size or smaller character. Otherwise, the detonation deals 12 Damage, focused in the direction the charge is affixed (within Immediate Range). A Breaching Charge has the Loud, Rend (12), and Unstable Traits.","MR 58"
,"Incendiary Charge","Engineering","6*","--","--",1,100,"Scarce","Blast, Inflict (Ablaze)*, Loud, Spread, Unstable","Incendiary Charges are heavy and unwieldy, and require careful placement. They can be used with a Remote Detonator (Imperium Maledictum, page 144), but other activation methods are common, such as electronic or clockwork timers, Militarum standard det cords, or even blackpowder fuses in less technologically affluent markets. All characters within the same Zone are set Ablaze, whilst those in Immediate Range of the device also take the listed Damage.","MR 58"
,"Emergency Flare","Engineering","4*","--","--",1,30,"Scarce","Ineffective, Inflict (Ablaze)*","Flares can be held or thrown, activated by a pull-cord fuse, or fired from specialised large-bore, single-shot pistols. While active and held, it eliminates the Dark and Poorly Lit Environmental Traits in the current Zone. A side-effect of a Flare’s light-emitting reaction is also an intense heat, they can inflict the Ablaze Condition if it makes contact with a flammable material. A Flare Pistol has the following profile: Pistol Specialisation, 4 Damage, Long Range, 1 Mag, 1 Enc, 5x the cost of a single Flare and the Loud Trait. If fired into the sky above, it eliminates the Poorly Lit Environmental Trait from all adjacent Zones its light shines upon, gradually falling to the ground by the end of the encounter.","MR 58"
,"Mines","Engineering",12,"--","--",1,50,"Common","Blast, Loud, Penetrating (2), Unstable","Concealed Mines require passing a Hard (−20) Intuition (Surroundings) Test to detect. They are activated according to how their trigger has been set — generally; pressure, tripwire, or proximity sensor — when a character or vehicle passes within Immediate Range of the Mine. They can be disarmed by passing a Hard (−20) Dexterity (Defuse) Test. Failure detonates the Mine. A Zone can be mined, granting it the Major Hazard Trait once the first Mine detonates.","MR 58"
,"Scare Gas Grenade","Thrown","--","--","--",0,200,"Rare","Inflict (Frightened)*, Loud, Thrown (Medium), Unstable","When a Scare Gas Grenade hits a Zone, all creatures in the Zone must make a Hard (−20) Fortitude (Endurance) Test or suffer the Frightened (Minor) Condition for three rounds. Anyone who enters the Zone must make the same Test. The gas lingers in the Zone for three rounds, also causing the Zone to become Lightly Obscured. This duration can be extended or shortened depending on the ventilation, such as enclosed areas or strong winds.","MR 58"
,"Multi-Laser*","Ordnance",8,"Extreme",15,4,"10000 (2500)","Rare","Heavy (4), Loud, Penetrating (4), Rapid Fire 5","*Several stats have been homebrewed due to lack of info","MR 74"
,"Hellstrike Missile","Ordnance",16,"Extreme",1,4,2000,"Rare","Blast, Burst, Loud, Penetrating (6)","Very rare to find it fired from anything not flying, to fire it not from a vehicle requires a specialized launcher.
*Several stats have been homebrewed due to lack of info","MR 74"
,"Inferno Cannon","Ordnance",12,"Medium",3,5,"5000 (500)","Rare","Heavy (5), Flamer, Inflict (Blaze, Major), Loud, Penetrating (2)","*Several stats have been homebrewed due to lack of info","MR 80"
,"Chem Cannon","Ordnance",12,"Medium",3,5,"5000 (500)","Rare","Heavy (5), Flamer, Inflict (Poisoned, Major), Loud, Penetrating (2)","*Several stats have been homebrewed due to lack of info","MR 80"
,"Blink-Blade","One-Handed","3+StrB","--","--",1,8000,"Exotic","Penetrating (2)","Swords of common or non-descript designs, doubleedged or single, as ornate or commonplace as any other blade across the galaxy. What makes the Blink-Blade special is how they are sheathed and unsheathed. The bearer does not carry a scabbard for such a weapon, as the blade is sheathed and unsheathed seemingly from thin air. These blades are unnaturally sharp, and the ability to make the blade disappear and reappear in a new grip or new orientation makes it difficult to defend against. The weapon is unusual and exceptionally heretical, therefore not commonly found among the Inquisition; instead acquired from exceedingly Radical sources. The strange nature of the weapons demands a bond with its wielder, an attunement with their mind, to sheathe and unsheathe it. A character that wishes to bond with the weapon can make a series of Difficult (−10) Willpower Tests, one per hour, and when the character has earned 5 SL, they have bonded to the weapon. The Blink-Blade is impossible to detect when sheathed. The wielder must succeed on a Challenging (+0) Discipline Test to unsheathe the weapon. If they fail, the weapon does not appear. When attacking with the blade, it ignores the Defensive quality of other weapons.","IPG 81"
,"Scythian Venom Talon","One-Handed","2+StrB","--","--",1,5000,"Exotic","Inflict (Bleeding), Inflict (Poisoned)","This dagger-like blade can deliver such a potent poison that it can incapacitate foes with a single scratch. Despite its martial features, a wicked curving blade, and slotted blade-catchers above the cross-guard, the weapon is obviously of xenos design. One would be foolish to ask why, or how, such a weapon has fallen in among the wargear of the Ordo Xenos. The Scythian Venom Talon has the Inflict (Bleeding) and Inflict (Poisoned) Traits.","IPG 81"
,"Dueling Glaive","Two-Handed","5+StrB","--","--",2,1,"Rare","Defensive, Reach, Two-handed","A weapon once seen in the hands of the Gland Warriors, guardsmen genetically modified to fight on the horrid fronts of war against Tyranids, the Duelling Glaive is a mighty halberd. Despite its length, the weapon is fairly lightweight, useful for keeping foes at a distance to guard against toxins or corrosive bio-weapons.","IPG 81"
,"Daemonhammer","One-Handed","5+StrB","--","--",1,150,"Exotic",,"An anointed Warhammer forged from precious metals, its haft engraved with sigils and wards, wrapped in blessed leathers and purity seals. The head of a Daemonhammer is stamped with the blazing symbol of the Inquisition, each smiting blow resounding like a thunderclap, its potent wards sundering the unnatural flesh of daemonic entities. Daemons struck by a Daemonhammer do not gain the benefit of any bonus die to their Armour value, such as that granted by the Lesser Daemon Trait. A Daemonhammer may also be a Power Weapon, gaining the Penetrating Trait against all enemies, at a value equal to its base damage bonus (Imperium Maledictum, page 127). Add 20% to the cost of Power Weapon Daemonhammers.","IPG 81"
,"Daemonhammer","Two-Handed","6+StrB","--","--",2,200,"Exotic","Heavy (4), Two-handed","An anointed Warhammer forged from precious metals, its haft engraved with sigils and wards, wrapped in blessed leathers and purity seals. The head of a Daemonhammer is stamped with the blazing symbol of the Inquisition, each smiting blow resounding like a thunderclap, its potent wards sundering the unnatural flesh of daemonic entities. Daemons struck by a Daemonhammer do not gain the benefit of any bonus die to their Armour value, such as that granted by the Lesser Daemon Trait. A Daemonhammer may also be a Power Weapon, gaining the Penetrating Trait against all enemies, at a value equal to its base damage bonus (Imperium Maledictum, page 127). Add 20% to the cost of Power Weapon Daemonhammers.","IPG 81"
,"Nemesis Daemonhammer","One-Handed","5+StrB","--","--",1,250,"Exotic","Penetrating (2)","A Nemesis weapon is a ritually consecrated artefact of incredible power, its arcane might amplified with silver sigils and the psychic circuitry of a force weapon. They are said to be the bane of all daemons and the means of their creation is a closely held secret. Some believe that a single blow from a Nemesis weapon can send daemons howling back to the Warp. Daemons struck by a Nemesis Daemonhammer do not gain the benefit of any bonus die to their Armour value, such as that granted by the Lesser Daemon Trait. They are also Force Weapons and Power Weapons combined. When wielded by a character with the Psyker Talent, they deal additional Damage equal to the wielder’s current Warp Charge. This additional Damage is doubled if the target is a daemon. They also have the Penetrating Trait while activated (Imperium Maledictum, page 127). Additionally, when a Nemesis Daemonhammer strikes a daemon, it must make a Challenging (+0) Discipline Test or be utterly unmade.","IPG 81"
,"Nemesis Daemonhammer","Two-Handed","6+StrB","--","--",2,300,"Exotic","Heavy (4), Penetrating (2), Two-handed","A Nemesis weapon is a ritually consecrated artefact of incredible power, its arcane might amplified with silver sigils and the psychic circuitry of a force weapon. They are said to be the bane of all daemons and the means of their creation is a closely held secret. Some believe that a single blow from a Nemesis weapon can send daemons howling back to the Warp. Daemons struck by a Nemesis Daemonhammer do not gain the benefit of any bonus die to their Armour value, such as that granted by the Lesser Daemon Trait. They are also Force Weapons and Power Weapons combined. When wielded by a character with the Psyker Talent, they deal additional Damage equal to the wielder’s current Warp Charge. This additional Damage is doubled if the target is a daemon. They also have the Penetrating Trait while activated (Imperium Maledictum, page 127). Additionally, when a Nemesis Daemonhammer strikes a daemon, it must make a Challenging (+0) Discipline Test or be utterly unmade.","IPG 81"
,"Truename Staff","Two-Handed","2+StrB","--","--",2,200,"Exotic","Defensive, Two-handed","Created by members of the Ordo Malleus, a Truename Staff is a length of cold iron etched with warding runes and sigils engraved with the names of nine and ninety powerful Daemons. Consecrated in elaborate rituals of daemon slaying and smiting, each strike of the weapon capable of sundering any daemonic entity. Daemons struck by a Truename Staff do not gain the benefit of any bonus die to their Armour value, such as that granted by the Lesser Daemon Trait. Additionally, when a Truename Staff strikes a daemon whose name has been etched upon its haft, that daemon must make a Challenging (+0) Discipline Test or be utterly unmade. Some Truename Staves can be Force Weapons. When wielded by a character with the Psyker Talent, it deals additional Damage equal to their current Warp Charge (Imperium Maledictum, page 127). This additional Damage is doubled if the target is a daemon. Add 20% to the cost of Force Weapon Truename Staffs.","IPG 81"
,"Null Rod","Two-Handed","1+StrB","--","--",2,150,"Rare","Defensive, Two-handed","Tests made to Manifest a psychic power that targets the Zone of the wielder, any individual within that Zone, or made within Short Range of a wielder of a Null weapon, suffers from Disadvantage. Additionally, daemons treat the Zone of a wielder with a Null weapon as a Minor Hazard. Null Rods are tall, obsidian rods, crackling with antipsychic energy, nullifying warp power within its area. A blow from a Null Rod can tear apart daemonic essence and trigger a cascade of cataclysmic energy within the mind of a rogue psyker. After battles and engagements, Null Rods must safely discharge their energy, lest they create rifts to the Warp. A Null Rod is a weapon commonly employed by the Ordo Malleus but not exclusive to them. When a Null Rod strikes a creature with a Warp Threshold, it gains Rend (X), where the X is the current Warp Charge of the target. Additionally, the first time a Null Rod strikes a psyker each day, the psyker must immediately make a Difficult (−10) Psychic Mastery Test and, upon failure, suffer Perils of the Warp.","IPG 81"
